355,1027,355,1014,416,1014,416,1027
31,1015,31,1003,59,1003,59,1015
431,1009,333,1004,335,992,433,997
49,975,49,967,62,967,62,975
658,977,111,959,113,946,660,968
493,952,277,943,280,934,495,943
601,854,545,844,548,826,604,835
496,834,496,825,537,825,537,834
189,823,126,820,128,807,191,811
385,810,385,792,439,792,439,810
286,807,125,801,127,787,288,794
599,799,496,795,498,782,601,786
385,789,385,776,425,776,425,789
425,769,385,767,387,753,427,756
590,762,498,756,500,744,592,748
136,776,136,708,235,708,235,776
528,720,420,717,422,703,531,707
551,703,392,695,394,681,553,689
281,693,129,686,131,672,283,678
484,642,133,630,135,615,486,629
541,607,135,591,137,578,544,594
646,591,135,572,137,558,648,578
402,543,136,533,138,519,404,530
621,512,138,495,140,481,624,499
657,495,138,475,140,462,659,481
574,454,140,438,142,424,576,440
652,439,139,418,141,404,654,424
280,384,142,379,144,366,282,372
386,361,386,347,422,347,422,361
367,292,146,283,148,270,369,279
342,272,147,264,149,250,345,258
659,258,473,249,475,236,661,245
594,236,473,232,475,218,597,223
656,214,475,205,478,192,658,202
620,192,476,185,479,173,622,180
605,172,478,167,480,153,607,158
414,176,152,168,154,135,416,143
598,153,478,146,480,133,600,140
