91,703,32,701,34,687,93,691
141,726,139,683,333,681,336,723
388,667,33,664,35,649,390,653
103,634,101,621,335,620,337,629
104,617,104,608,376,608,376,617
34,606,34,592,291,592,291,606
104,558,104,549,337,549,337,558
35,547,35,534,221,534,221,547
41,499,41,486,521,486,521,499
516,484,38,481,41,468,518,470
41,469,41,456,518,456,518,469
513,454,37,452,40,438,515,441
40,439,40,426,517,426,517,439
41,424,41,411,518,411,518,424
179,394,34,392,36,377,181,380
355,311,205,307,208,252,357,255
203,178,203,156,372,156,372,178
91,61,91,52,148,52,148,61
408,48,408,35,509,35,509,48
