1131,1706,350,1688,352,1658,1133,1677
784,1664,352,1656,354,1631,786,1640
1108,1638,301,1621,303,1598,1110,1614
978,1541,973,1537,978,1530,982,1534
1162,1443,1160,1435,1181,1429,1183,1437
1338,1437,940,1429,943,1267,1341,1273
1219,1262,1219,1236,1248,1236,1248,1262
1194,1219,1183,1208,1192,1198,1204,1210
1031,1285,994,1245,1093,1156,1130,1197
1062,1173,1059,1169,1072,1163,1075,1166
1086,1163,1084,1153,1133,1142,1135,1154
832,648,832,640,842,640,842,648
753,652,753,639,769,639,769,652
931,654,877,648,881,617,935,622
726,652,531,643,533,609,728,617
545,617,545,572,1333,572,1333,617
306,600,304,571,486,569,488,597
506,524,491,509,504,500,515,511
452,526,452,500,491,500,491,526
1059,536,528,527,530,494,1061,503
306,523,306,497,338,497,338,523
333,523,331,497,408,492,410,521
779,458,305,450,307,419,781,427
1047,324,601,314,603,265,1050,275
1235,140,1082,137,1084,118,1237,123
1312,93,1310,86,1323,82,1326,91
