59,2279,57,2247,1233,2244,1235,2276
1360,2275,1358,2246,1595,2243,1597,2272
61,2209,61,2180,425,2180,425,2209
1366,2011,1209,2007,1211,1952,1368,1955
1148,1984,1113,1838,1435,1759,1471,1905
1178,1806,1175,1798,1186,1793,1189,1801
1201,1781,1201,1761,1221,1761,1221,1781
1187,1764,1183,1756,1194,1751,1197,1759
1235,1754,1235,1740,1258,1740,1258,1754
1209,1756,1209,1740,1225,1740,1225,1756
264,1913,261,1707,648,1701,651,1907
377,1825,373,1822,378,1817,381,1821
460,1809,434,1806,436,1799,462,1802
1399,1816,1247,1753,1271,1696,1423,1760
1127,1171,1127,1157,1150,1157,1150,1171
353,1088,198,1084,200,1054,355,1056
426,1019,305,1016,307,982,428,985
199,1025,197,984,307,979,309,1020
198,949,198,913,1483,913,1483,949
119,879,119,843,561,843,561,879
557,790,555,745,1101,742,1103,788
896,622,896,594,1030,594,1030,622
107,627,105,595,503,590,505,624
733,626,733,592,846,592,846,626
105,487,103,455,500,452,502,484
1073,380,1071,351,1442,349,1444,377
106,356,106,324,926,324,926,356
998,275,998,241,1154,241,1154,275
301,229,299,205,387,203,389,226
108,233,108,204,244,204,244,233
1569,122,1555,108,1563,100,1577,114
731,135,731,101,968,101,968,135
61,136,59,104,513,99,515,133
254,97,230,97,230,90,254,90
307,98,305,86,367,81,369,93
1561,165,414,156,416,3,1563,12
