243,1215,243,1202,374,1202,374,1215
103,1215,103,1202,224,1202,224,1215
126,1178,124,1162,772,1153,774,1171
690,1027,621,1022,624,993,693,998
580,970,580,951,658,951,658,970
730,980,671,966,675,941,734,955
207,944,204,872,360,865,363,937
80,729,78,706,155,705,157,725
121,689,119,666,817,654,819,677
75,649,73,629,427,622,429,642
289,587,287,563,572,557,574,581
54,499,52,480,507,476,509,496
53,450,53,430,308,430,308,450
374,447,374,428,536,428,536,447
622,443,622,423,719,423,719,443
606,365,604,342,682,337,684,360
66,338,64,319,367,315,369,334
605,352,603,307,696,303,698,349
652,297,650,279,783,276,785,294
608,268,606,245,704,242,706,265
65,258,63,239,364,233,366,252
649,233,647,214,819,211,821,230
353,225,351,213,443,210,445,223
273,216,273,209,300,209,300,216
470,214,470,207,488,207,488,214
64,208,62,190,216,186,218,204
605,204,605,180,702,180,702,204
38,145,36,122,395,115,397,138
675,134,675,111,852,111,852,134
211,101,209,69,677,60,679,94
