312,1504,310,1484,640,1476,643,1497
648,1499,646,1474,826,1466,828,1491
318,1475,316,1452,567,1446,569,1467
590,1465,590,1448,666,1448,666,1465
1015,1250,942,1247,944,1223,1017,1229
1091,1187,1050,1182,1053,1167,1093,1173
1015,1196,941,1191,943,1161,1017,1167
903,1099,891,1082,951,1047,961,1064
709,555,704,546,735,531,739,540
745,527,745,518,758,518,758,527
226,533,226,498,485,498,485,533
503,530,501,499,869,492,871,523
581,458,566,443,582,428,596,442
227,463,225,433,491,427,493,457
655,442,633,439,635,430,657,433
703,454,691,434,720,420,729,441
781,456,781,426,865,426,865,456
655,390,655,383,674,383,674,390
645,376,645,367,660,367,660,376
226,401,224,364,628,356,630,397
798,392,795,357,869,356,871,389
461,267,459,218,851,212,853,259
876,88,874,69,1002,62,1004,81
764,70,762,51,942,46,944,65
