1059,1709,1059,1688,1234,1688,1234,1709
88,1712,85,1688,961,1684,963,1708
17,1689,8,1685,11,1677,20,1681
427,1661,85,1659,88,1636,429,1640
783,1619,783,1607,805,1607,805,1619
1060,1511,964,1507,966,1469,1062,1473
1120,1428,913,1423,915,1394,1122,1399
298,1411,296,1349,483,1342,485,1404
192,818,192,794,308,794,308,818
191,775,189,742,362,735,364,771
191,714,189,688,1150,684,1152,713
514,662,131,660,133,634,516,637
460,594,460,559,868,559,868,594
592,473,592,448,675,448,675,473
124,473,124,448,419,448,419,473
810,471,707,469,709,443,812,446
124,367,122,343,452,340,455,364
845,289,845,264,1121,264,1121,289
122,271,120,247,604,243,607,268
791,209,791,185,903,185,903,209
227,180,120,174,122,154,229,157
227,179,225,155,336,150,338,175
90,105,88,79,427,76,429,101
591,101,589,80,765,76,767,100
1242,134,349,106,353,-9,1245,20
