1317,2203,1314,2141,1468,2134,1471,2195
1486,2147,1486,2117,1519,2117,1519,2147
1506,2121,1506,2109,1524,2109,1524,2121
1470,2118,1467,2110,1479,2104,1482,2112
1525,2112,1499,2101,1503,2084,1532,2094
1360,2166,1236,2145,1249,2068,1375,2089
1517,2087,1504,2064,1536,2047,1548,2071
953,2050,953,2031,962,2031,962,2050
182,2054,182,2022,223,2022,223,2054
338,2054,338,2019,378,2019,378,2054
998,2053,996,2017,1189,2013,1191,2049
810,2092,768,2072,803,2000,844,2020
670,2098,649,1982,771,1962,791,2078
1270,2046,1241,2026,1280,1969,1309,1989
848,2119,798,1987,894,1952,945,2084
1290,1984,1290,1976,1305,1976,1305,1984
674,2139,455,2098,488,1933,704,1973
622,2064,592,2059,603,2013,633,2020
1307,1981,1286,1956,1306,1937,1331,1962
1514,2012,1426,1959,1450,1918,1538,1971
1349,1941,1345,1937,1348,1933,1352,1937
473,1792,470,1762,719,1759,721,1789
1242,1789,1242,1760,1486,1760,1486,1789
183,1793,183,1756,379,1756,379,1793
987,1791,987,1750,1235,1750,1235,1791
475,1510,475,1471,1211,1471,1211,1510
387,1509,181,1506,183,1467,389,1469
473,1290,473,1255,777,1255,777,1290
177,1294,175,1248,390,1240,392,1286
752,1048,745,1044,760,1021,767,1025
831,824,820,824,820,817,831,817
1004,1012,767,988,791,752,1029,777
789,795,770,792,772,779,791,782
701,809,701,775,775,775,775,809
604,567,604,510,673,510,673,567
653,568,651,510,720,507,723,565
1052,564,1052,506,1124,506,1124,564
936,570,936,503,1008,503,1008,570
950,573,710,567,712,498,952,504
996,568,996,499,1063,499,1063,568
781,485,726,453,735,437,793,468
1452,293,1452,279,1465,279,1465,293
1282,302,1282,272,1427,272,1427,302
1178,305,1178,270,1216,270,1216,305
1489,304,1489,269,1528,269,1528,304
1232,300,1232,265,1261,265,1261,300
190,345,190,250,591,250,591,345
322,322,322,298,461,298,461,322
825,269,825,239,905,239,905,269
918,226,918,208,946,208,946,226
801,228,779,213,788,199,811,216
943,174,934,168,936,164,947,170
