894,1530,894,1513,936,1513,936,1530
152,1454,152,1429,182,1429,182,1454
43,1453,43,1429,70,1429,70,1453
621,1450,621,1424,761,1424,761,1450
512,1482,512,1421,546,1421,546,1482
596,1452,572,1449,575,1418,601,1422
358,1509,358,1391,527,1391,527,1509
369,1545,227,1511,261,1367,406,1399
43,1367,41,1337,540,1332,542,1363
538,1362,536,1333,747,1326,749,1355
42,1203,40,1170,935,1154,937,1187
42,1059,40,1029,516,1017,518,1047
33,943,31,865,1021,853,1024,927
45,854,43,823,581,818,583,849
469,621,469,602,581,602,581,621
356,380,354,331,722,321,724,372
479,229,479,215,550,215,550,229
518,212,518,204,550,204,550,212
748,193,748,167,776,167,776,193
781,193,779,163,999,159,1001,188
339,225,43,220,45,148,341,152
219,174,215,170,219,167,223,171
513,149,513,141,530,141,530,149
481,125,481,113,494,113,494,125
494,72,492,65,514,59,516,67
