1343,2300,1341,2270,1574,2267,1576,2298
49,2298,49,2268,1219,2268,1219,2298
49,2229,49,2200,442,2200,442,2229
1342,2036,1198,2027,1201,1975,1345,1983
1202,1987,1198,1983,1202,1979,1206,1983
1150,1976,1110,1898,1248,1829,1290,1906
1192,1881,1189,1874,1198,1870,1201,1877
642,2016,270,2011,272,1833,645,1837
1427,1939,1268,1921,1277,1836,1436,1851
1181,1818,1165,1789,1192,1772,1211,1802
382,1822,382,1684,536,1684,536,1822
344,1108,186,1103,188,1071,346,1073
188,1038,188,1003,400,1003,400,1038
1464,971,185,967,187,931,1466,932
109,898,109,863,661,863,661,898
545,811,545,762,1088,762,1088,811
881,643,881,619,1020,619,1020,643
721,650,719,615,830,613,832,645
97,647,95,613,492,612,494,644
97,507,95,473,592,472,594,504
1057,403,1057,374,1428,374,1428,403
97,377,97,347,830,347,830,377
986,298,986,264,1140,264,1140,298
288,251,288,226,384,226,384,251
98,254,98,225,234,225,234,254
53,156,51,123,502,120,504,153
720,156,718,121,954,118,956,153
450,123,447,109,475,102,478,116
1584,203,401,141,408,-6,1593,54
583,51,538,47,540,39,585,42
