457,732,455,725,581,722,583,730
447,725,445,717,545,714,547,721
144,720,144,713,242,713,242,720
579,664,579,656,653,656,653,664
274,659,274,651,356,651,356,659
445,509,445,501,579,501,579,509
133,504,133,492,287,492,287,504
446,493,446,485,615,485,615,493
155,482,155,473,380,473,380,482
445,478,445,470,598,470,598,478
505,448,505,439,596,439,596,448
207,444,207,435,308,435,308,444
319,408,319,401,349,401,349,408
203,362,199,342,234,336,237,356
428,334,428,322,482,322,482,334
146,334,144,322,259,321,261,330
532,337,532,305,588,305,588,337
147,281,147,269,300,269,300,281
641,281,426,279,428,266,643,269
208,205,208,141,275,141,275,205
189,102,189,93,200,93,200,102
147,101,147,92,156,92,156,101
295,70,293,58,355,57,357,66
433,53,433,45,514,45,514,53
205,44,205,31,302,31,302,44
430,37,428,24,575,22,577,34
